nameStd,nameAlt,subtitile,hasRD,hasGR,hasYL,hasBL,hasOR,hasSV,platformType,WBDir,EBDir,compassN
L'Enfant Plaza (Upper Level),,,,TRUE,TRUE,,,,Side,Greenbelt/Mt Vernon Sq,Branch Ave/Huntington,w
Landover,,,,,,,TRUE,,Island,Vienna,New Carrollton,ne
Medical Center,,,TRUE,,,,,,Island,Shady Grove,Glenmont,w
Metro Center (Upper Level),,,TRUE,,,,,,Side,Shady Grove,Glenmont,n
Minnesota Avenue,Minnesota Ave,,,,,,TRUE,,Island,Vienna,New Carrollton,ne
Mount Vernon Square,Mt Vernon Sq,7th St-Convention Center,,TRUE,TRUE,,,,Island,Greenbelt/Mt Vernon Sq,Branch Ave,w
Navy Yard-Ballpark,,,,TRUE,,,,,Island,Greenbelt,Branch Ave,n
Naylor Road,Naylor Rd,,,TRUE,,,,,Island,Greenbelt,Branch Ave,n
New Carrollton,,,,,,,TRUE,,Terminus EB,New Carrollton,New Carrollton,ne
NoMa-Gallaudet U,,,TRUE,,,,,,Island,Shady Grove,Glenmont,e
North Bethesda,,,TRUE,,,,,,Island,Shady Grove,Glenmont,w
Pentagon,,,,,TRUE,TRUE,,,Gap Island,Franconia-Springfield/Huntington,Largo/Mt Vernon Sq,sw
Pentagon City,,,,,TRUE,TRUE,,,Side,Franconia-Springfield/Huntington,Largo/Mt Vernon Sq,w
Potomac Yard,,VT,,,TRUE,TRUE,,,Side,Franconia-Springfield/Huntington,Largo/Mt Vernon Sq,w
Rhode Island Avenue,Rhode Island Ave,Brentwood,TRUE,,,,,,Island,Shady Grove,Glenmont,e
Rockville,,,TRUE,,,,,,Island,Shady Grove,Glenmont,nw
Shady Grove,,,TRUE,,,,,,Terminus WB,Shady Grove,Shady Grove,nw
Shaw-Howard U,,,,TRUE,,,,,Island,Greenbelt,Branch Ave,w
Silver Spring,,,TRUE,,,,,,Island,Shady Grove,Glenmont,se
Southern Avenue,Southern Ave,,,TRUE,,,,,Island,Greenbelt,Branch Ave,ne
Suitland,,,,TRUE,,,,,Island,Greenbelt,Branch Ave,nw
Takoma,,,TRUE,,,,,,Island,Shady Grove,Glenmont,se
Tenleytown-AU,,,TRUE,,,,,,Island,Shady Grove,Glenmont,nw
Twinbrook,,,TRUE,,,,,,Island,Shady Grove,Glenmont,nw
U Street,U St,African-Amer Civil War Mem'l/Cardozo,,TRUE,,,,,Island,Greenbelt,Branch Ave,n
Union Station,,,TRUE,,,,,,Island,Shady Grove,Glenmont,e
Van Dorn Street,Van Dorn St,,,,,TRUE,,,Island,Franconia-Springfield,Largo,n
Van Ness-UDC,,,TRUE,,,,,,Island,Shady Grove,Glenmont,nw
Vienna,,Fairfax-GMU,,,,,TRUE,,Terminus WB,Vienna,Vienna,n
Washington National Airport,Ronald Reagan Washington National Airport,,,,TRUE,TRUE,,,Gap Island,Franconia-Springfield/Huntington,Largo/Mt Vernon Sq,w
Waterfront,,,,TRUE,,,,,Island,Greenbelt,Branch Ave,n
West Falls Church,,VT,,,,,TRUE,,Gap Island,Vienna,New Carrollton,n
West Hyattsville,,,,TRUE,,,,,Side,Greenbelt,Branch Ave,w
Wheaton,,,TRUE,,,,,,Gap Island,Shady Grove,Glenmont,e
Woodley Park,,Zoo/Adams Morgan,TRUE,,,,,,Island,Shady Grove,Glenmont,nw
