0,27,22,28,83,37,5,42,35,41,34,2,17,20,34,33,44,31,30,32,28,17,6,48,28,41,15,39,26,27,19,25,29,45,36,48,39,23,33,52,48,52,48,67,41,41,70,25,37,20,23,79,48,26,44,24,15,3,25,24,35,26,29,51,25,26,13,33,64,32,57,30,31,61,27,42,22,32,54,11,38,39,37,53,50,29,27,43,35,52,35,74,22,44,39,48,62,31
25,0,9,15,70,24,22,29,22,14,21,23,10,25,21,20,31,18,3,19,15,22,31,35,15,28,12,26,13,14,8,12,16,32,23,35,26,10,20,39,35,39,35,54,28,28,57,12,24,7,28,66,35,13,31,11,20,28,12,3,8,31,16,38,12,13,14,20,51,19,44,17,18,48,14,29,9,5,41,16,11,26,24,40,37,16,14,30,22,39,22,61,5,31,26,35,49,18
20,9,0,10,62,16,17,20,17,23,12,18,5,20,13,11,22,9,12,11,10,17,26,27,6,20,7,21,4,5,3,3,7,23,14,30,17,1,11,30,26,31,26,46,23,19,49,3,19,2,23,58,27,4,22,2,15,23,3,6,17,26,7,29,7,8,9,15,43,10,35,12,10,39,5,20,4,14,33,11,20,17,15,31,29,7,5,25,13,31,14,53,4,23,17,26,41,9
26,15,10,0,55,9,23,29,13,29,22,24,11,26,6,20,32,19,18,4,6,23,32,20,15,13,13,17,13,8,9,12,6,33,24,26,26,11,21,40,36,24,35,39,19,29,42,13,15,8,29,51,20,9,31,11,21,29,13,12,23,32,17,38,3,4,15,11,36,20,44,8,3,48,15,30,10,20,26,17,26,27,24,40,22,17,15,21,22,24,7,46,10,16,27,36,34,18
81,70,62,55,0,46,78,78,68,84,72,79,66,81,49,69,82,69,73,51,61,78,87,49,64,42,68,72,62,57,64,61,55,83,74,81,75,61,71,90,86,31,84,16,74,79,13,63,70,63,84,4,35,58,80,60,76,84,63,67,78,87,67,87,58,59,70,66,19,70,93,63,52,97,65,80,62,75,29,72,81,77,73,89,33,67,65,76,71,53,48,9,65,45,77,86,21,67
35,24,16,9,46,0,32,32,22,38,26,33,20,35,3,23,36,23,27,5,15,32,41,11,18,4,22,26,16,11,18,15,9,37,28,35,29,15,25,44,40,15,38,30,28,33,33,17,24,17,38,42,11,12,34,14,30,38,17,21,32,41,21,41,12,13,24,20,27,24,47,17,6,51,19,34,16,29,17,26,35,31,27,43,13,21,19,30,25,15,2,37,19,7,31,40,25,21
3,22,17,23,78,32,0,37,30,36,29,1,12,15,29,28,39,26,25,27,23,12,9,43,23,36,10,34,21,22,14,20,24,40,31,43,34,18,28,47,43,47,43,62,36,36,65,20,32,15,18,74,43,21,39,19,10,6,20,19,30,21,24,46,20,21,8,28,59,27,52,25,26,56,22,37,17,27,49,6,33,34,32,48,45,24,22,38,30,47,30,69,17,39,34,43,57,26
40,29,20,29,78,32,37,0,37,43,30,38,25,40,29,9,40,27,32,27,30,37,46,43,14,36,27,41,16,21,23,19,23,41,32,50,3,19,29,48,44,47,6,62,43,37,65,21,39,22,43,74,43,20,2,18,35,43,21,26,37,46,25,9,27,28,29,35,59,28,15,32,26,19,23,38,20,34,49,31,40,35,5,11,45,25,23,45,7,47,30,69,24,39,35,44,57,11
33,22,17,13,68,22,30,37,0,36,29,31,18,33,19,28,39,26,25,17,7,30,39,33,23,26,20,4,21,21,16,20,19,40,31,13,34,18,28,47,43,37,43,52,6,36,55,20,2,15,36,64,33,21,39,19,28,36,20,19,30,39,24,46,10,9,22,2,49,27,52,5,16,56,22,37,17,27,39,24,33,34,32,48,35,24,22,8,30,37,20,59,17,29,34,43,47,26
39,14,23,29,84,38,36,43,36,0,35,37,24,39,35,34,45,32,11,33,29,36,45,49,29,42,26,40,27,28,22,26,30,46,37,49,40,24,34,53,49,53,49,68,42,42,71,26,38,21,42,80,49,27,45,25,34,42,26,17,6,45,30,52,26,27,28,34,65,33,58,31,32,62,28,43,23,9,55,30,3,40,38,54,51,30,28,44,36,53,36,75,19,45,40,49,63,32
32,21,12,22,72,26,29,30,29,35,0,30,17,32,23,21,11,8,24,21,22,29,38,37,16,30,19,33,14,15,15,13,17,12,3,42,27,11,6,19,15,41,36,56,35,8,59,9,31,14,35,68,37,14,32,12,27,35,13,18,29,38,5,39,19,20,21,27,53,2,45,24,20,49,12,9,14,26,43,23,32,6,25,41,39,10,7,37,23,41,24,63,16,33,6,15,51,19
2,25,20,26,81,35,3,40,33,39,32,0,15,18,32,31,42,29,28,30,26,15,8,46,26,39,13,37,24,25,17,23,27,43,34,46,37,21,31,50,46,50,46,65,39,39,68,23,35,18,21,77,46,24,42,22,13,5,23,22,33,24,27,49,23,24,11,31,62,30,55,28,29,59,25,40,20,30,52,9,36,37,35,51,48,27,25,41,33,50,33,72,20,42,37,46,60,29
15,10,5,11,66,20,12,25,18,24,17,13,0,15,17,16,27,14,13,15,11,12,21,31,11,24,2,22,9,10,2,8,12,28,19,31,22,6,16,35,31,35,31,50,24,24,53,8,20,3,18,62,31,9,27,7,10,18,8,7,18,21,12,34,8,9,4,16,47,15,40,13,14,44,10,25,5,15,37,6,21,22,20,36,33,12,10,26,18,35,18,57,5,27,22,31,45,14
18,25,20,26,81,35,15,40,33,39,32,16,15,0,32,31,42,29,28,30,26,3,24,46,26,39,13,37,24,25,17,23,27,43,34,46,37,21,31,50,46,50,46,65,39,39,68,23,35,18,3,77,46,24,42,22,5,21,23,22,33,6,27,49,23,24,11,31,62,30,55,28,29,59,25,40,20,30,52,9,36,37,35,51,48,27,25,41,33,50,33,72,20,42,37,46,60,29
32,21,13,6,49,3,29,29,19,35,23,30,17,32,0,20,33,20,24,2,12,29,38,14,15,7,19,23,13,8,15,12,6,34,25,32,26,12,22,41,37,18,35,33,25,30,36,14,21,14,35,45,14,9,31,11,27,35,14,18,29,38,18,38,9,10,21,17,30,21,44,14,3,48,16,31,13,26,20,23,32,28,24,40,16,18,16,27,22,18,1,40,16,10,28,37,28,18
31,20,11,20,69,23,28,9,28,34,21,29,16,31,20,0,31,18,23,18,21,28,37,34,5,27,18,32,7,12,14,10,14,32,23,41,6,10,20,39,35,38,15,53,34,28,56,12,30,13,34,65,34,11,11,9,26,34,12,17,28,37,16,18,18,19,20,26,50,19,24,23,17,28,14,29,11,25,40,22,31,26,4,20,36,16,14,36,2,38,21,60,15,30,26,35,48,2
